ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma20,ma60,upper_channel,lower_channel,mid_channel,tr,atr,signal,position,entry_price,stop_loss,trade_type,daily_return,strategy_return,strategy_nav,buy_hold_nav
688146.SH,2025-12-25,41.8,42.0,41.32,41.77,41.73,0.04,0.0959,37773.74,157438.667,40.4025,42.10816666666667,42.85,38.88,40.865,0.6799999999999997,1.282857142857145,0,0,,,,0.0009585430146179519,0.0,0.995221451053375,1.4448287789692162
688146.SH,2025-12-26,41.82,41.95,41.45,41.52,41.77,-0.25,-0.5985,39224.75,163621.234,40.4655,42.0485,42.85,38.88,40.865,0.5,1.259285714285716,0,0,,,,-0.00598515681110845,-0.0,0.995221451053375,1.436181252161883
688146.SH,2025-12-29,41.38,41.44,40.43,40.45,41.52,-1.07,-2.5771,47380.26,193647.941,40.452000000000005,41.98933333333333,42.85,39.41,41.129999999999995,1.0900000000000034,1.2664285714285732,0,0,,,,-0.025770712909441218,-0.0,0.995221451053375,1.3991698374264974
688146.SH,2025-12-30,40.34,40.8,40.05,40.12,40.45,-0.33,-0.8158,37541.53,151407.119,40.4585,41.92816666666667,42.85,39.91,41.379999999999995,0.75,1.2721428571428588,0,0,,,,-0.008158220024721996,-0.0,0.995221451053375,1.3877551020408174
688146.SH,2025-12-31,40.25,40.99,40.11,40.4,40.12,0.28,0.6979,35280.51,142898.741,40.5015,41.86883333333333,42.85,39.91,41.379999999999995,0.8800000000000026,1.2392857142857159,0,0,,,,0.006979062811565351,0.0,0.995221451053375,1.3974403320650306
688146.SH,2026-01-05,40.59,42.23,40.59,42.18,40.4,1.78,4.4059,69379.87,288997.142,40.6535,41.83266666666667,42.85,40.05,41.45,1.8299999999999983,1.2792857142857161,0,0,,,,0.0440594059405941,0.0,0.995221451053375,1.4590107229332423
688146.SH,2026-01-06,42.3,43.2,42.01,42.57,42.18,0.39,0.9246,59446.51,253080.851,40.792,41.82666666666667,42.85,40.05,41.45,1.1900000000000048,1.2364285714285732,0,0,,,,0.009246088193456625,0.0,0.995221451053375,1.472500864752682
688146.SH,2026-01-07,43.39,45.4,43.21,44.79,42.57,2.22,5.2149,137193.08,607985.459,41.0205,41.84316666666667,43.2,40.05,41.625,2.8299999999999983,1.2471428571428587,1,1,44.79,42.29571428571428,买入,0.05214940098661036,0.0,0.995221451053375,1.5492909028018003
688146.SH,2026-01-08,46.21,48.5,44.88,45.5,44.79,0.71,1.5852,146079.6,675893.004,41.3,41.9075,45.4,40.05,42.724999999999994,3.710000000000001,1.3650000000000015,0,1,44.79,42.769999999999996,,0.015851752623353477,0.015851752623353477,1.010997455300928,1.5738498789346265
688146.SH,2026-01-09,45.28,45.44,44.06,44.66,45.5,-0.84,-1.8462,104345.54,465671.448,41.5415,41.9475,48.5,40.05,44.275,1.4399999999999977,1.3878571428571438,0,1,44.79,42.769999999999996,,-0.01846153846153853,-0.01846153846153853,0.9923328868953724,1.5447941888619872
