ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma20,ma60,trade_date_str,rsi,dif,dea,macd_hist,bb_mid,bb_upper,bb_lower,k,d,j
688146.SH,2025-12-01,40.0,41.06,39.91,40.72,40.26,0.46,1.1426,55533.25,224502.54,42.792,42.3785,2025-12-01,44.46625031461489,-0.866530891782979,-0.45329795959474306,-0.826465864376472,42.791999999999994,47.34049240495078,38.24350759504921,16.231232996542307,12.8226568294345,10.225728501323424
688146.SH,2025-12-02,40.35,40.69,39.7,39.99,40.72,-0.73,-1.7927,35939.31,144000.398,42.4965,42.32333333333334,2025-12-02,42.060588161611754,-0.9031733639062054,-0.5432730404570356,-0.7198006468983396,42.4965,46.961966439949585,38.03103356005041,16.03464742241661,13.893320360428536,6.423981185964223
688146.SH,2025-12-03,39.9,39.98,39.22,39.54,39.99,-0.45,-1.1253,28938.01,114223.238,42.198,42.3065,2025-12-03,40.60234618981624,-0.9574867154112283,-0.6261157754478742,-0.6627418799267082,42.198,46.613153809086946,37.782846190913055,14.763839022351792,14.183493247736287,1.7410373238465198
688146.SH,2025-12-04,39.23,39.64,38.7,39.14,39.54,-0.4,-1.0116,29040.52,113473.854,41.9175,42.278666666666666,2025-12-04,39.29810467850142,-1.0210372134232983,-0.7051000630429591,-0.6318743007606784,41.917500000000004,46.362712090138785,37.47228790986122,15.274658113666606,14.54721486971306,2.1823297318606407
688146.SH,2025-12-05,39.39,39.98,38.72,39.8,39.14,0.66,1.6863,30037.07,118749.816,41.608,42.29383333333333,2025-12-05,42.575813486084996,-1.0065421652740838,-0.7653884834891842,-0.4823073635697992,41.608,45.707867006828934,37.50813299317106,25.39748991810133,18.163973219175816,21.70055009677654
688146.SH,2025-12-08,39.85,40.63,39.85,40.22,39.8,0.42,1.0553,40480.0,163297.523,41.346500000000006,42.301833333333335,2025-12-08,44.62495634315163,-0.9502108065785535,-0.8023529481070582,-0.2957157169429907,41.346500000000006,45.063891700188705,37.62910829981131,38.40058649907315,24.909510979141594,40.47322655979468
688146.SH,2025-12-09,40.05,40.49,39.5,39.91,40.22,-0.31,-0.7708,31657.6,126668.168,41.112,42.291500000000006,2025-12-09,43.39410609315792,-0.9199772827392749,-0.8258778150335015,-0.18819893541154675,41.112,44.54615415158411,37.67784584841589,42.69078647960801,30.836602812630396,35.56255100093284
688146.SH,2025-12-10,39.91,39.93,39.26,39.83,39.91,-0.08,-0.2005,32830.05,129892.026,40.9295,42.30683333333334,2025-12-10,43.06399908230186,-0.8921877437456658,-0.8391398007759345,-0.10609588593946251,40.929500000000004,44.21867506855127,37.64032493144874,44.42097629713974,35.364727307466836,27.168746969018713
688146.SH,2025-12-11,40.29,40.6,39.26,39.34,39.83,-0.49,-1.2302,40758.44,162455.904,40.679,42.30733333333333,2025-12-11,41.00637444630815,-0.8993362503034277,-0.8511790906814332,-0.09631431924398903,40.678999999999995,43.61553501507084,37.74246498492915,38.653532220692036,36.460995611875234,6.577609826450413
688146.SH,2025-12-12,39.2,40.15,38.88,39.79,39.34,0.45,1.1439,49756.99,196408.821,40.5675,42.29966666666667,2025-12-12,43.668357726452136,-0.8587906500247087,-0.8527014025500883,-0.012178494949240726,40.5675,43.458639822575954,37.67636017742405,44.02697792937256,38.982989717707675,15.131964634994688
688146.SH,2025-12-15,39.43,41.2,39.41,40.23,39.79,0.44,1.1058,66584.43,269488.291,40.417,42.298,2025-12-15,46.223514198900766,-0.782137650945657,-0.8385886522292021,0.11290200256709015,40.417,43.02154744023244,37.812452559767564,49.751318619581625,42.57243268499899,21.5366578037479
688146.SH,2025-12-16,40.17,42.85,40.17,41.47,40.23,1.24,3.0823,108342.39,452196.862,40.316,42.31666666666667,2025-12-16,52.7307624735138,-0.6142512539356275,-0.7937211725704872,0.35893983726971945,40.315999999999995,42.5489532014801,38.08304679851989,55.41654173032346,46.853802366773806,25.688218090648974
688146.SH,2025-12-17,41.4,41.97,39.91,41.6,41.47,0.13,0.3135,84772.32,346902.315,40.1895,42.32166666666667,2025-12-17,53.36784659360471,-0.46534594284303665,-0.7280461266249972,0.5254003675639212,40.189499999999995,41.67386731161453,38.70513268838546,60.18891321166035,51.298839315069316,26.670221689773086
688146.SH,2025-12-18,41.22,41.77,40.65,40.71,41.6,-0.89,-2.1394,52482.4,215258.298,40.1375,42.29666666666667,2025-12-18,48.544084950416206,-0.4143763009004857,-0.665312161480095,0.5018717211592185,40.1375,41.45519935074267,38.81980064925734,55.49118143581721,52.69628668865194,8.38468424149579
688146.SH,2025-12-19,40.71,40.97,40.05,40.37,40.71,-0.34,-0.8352,48268.44,195013.756,40.141000000000005,42.268,2025-12-19,46.80364350335996,-0.3968430908212781,-0.6116183473483316,0.4295505130541071,40.141000000000005,41.46088675750303,38.82111324249698,49.50461633924334,51.6323965721824,-6.383340698817165
688146.SH,2025-12-22,40.39,41.2,40.12,40.65,40.37,0.28,0.6936,47987.26,195963.821,40.1335,42.227833333333336,2025-12-22,48.443004127540924,-0.3562476345960164,-0.5605442047978686,0.4085931404037044,40.1335,41.439248827301896,38.8277511726981,47.86453851667437,50.37644388701305,-7.535716111016029
688146.SH,2025-12-23,40.65,41.7,40.56,40.98,40.65,0.33,0.8118,58167.18,239801.908,40.179,42.20633333333333,2025-12-23,50.38370041412625,-0.29405748929593045,-0.507246861697481,0.4263787448031011,40.179,41.53777499008647,38.820225009913536,49.54193415805155,50.09827397735921,-1.6690194579229853
688146.SH,2025-12-24,41.14,42.17,40.78,41.73,40.98,0.75,1.8302,61870.06,256478.321,40.2895,42.1775,2025-12-24,54.56924464327972,-0.1821528741543048,-0.4422280641888458,0.520150380069082,40.289500000000004,41.776064035478875,38.80293596452113,56.95742713811325,52.38465836427722,13.718306321508095
